FID,OBJECTID,NAMEAR,NAMEEN,CORONA__Ca,Population,PopDensity,AgingRatio,ServicesHi,HealthServ,Landuse,Commercial,RoadDensit,GreenAreas,Open_spave
0,12,??????,Hebron (Al Khalil),7299,15988,5.92,0.02,5,100,2.7861,0.00175,0.0467,0.0801,0.8651
1,15,??? ?????,Deir Istiya,139,3930,4.2,0.047,1,8,2.33,0.0049,0.164,0,0.88
2,21,????,Battir,63,4966,3,0.05,1,12,2.82,0,0.032,0,0.91
3,23,?????,Surif,181,18534,3.7,0.02579,1,30,2.6985,0.002074,0.10506,0.0027092,0.9201
4,24,??? ???,Beit Ummar,418,18202,2,0.033,2,34,2.37,0.003,0.078,0.162,0.894
5,38,?????,Kharas,68,9798,2.2,0.023,1,0,2.226,0.004,0.22,0.014,0.947
6,42,????,Nuba,60,6037,0.7,0.022,2,0,2.118,0,0.318,0.014,0.979
7,44,??? ????,Beit Ula,145,221136,7.29,0.02,2,20,2.6668,0.0002,0.0954,0.0066,0.9198
8,45,????,Sa'ir,243,22791,2.35,0.02,3,42,2.94,0.00627,0.0851,0.0026,0.9347
9,46,?????,Halhul,838,29730,4.16,0.04,4,50,2.133,0,0.2666,0.1034,0.8929
10,47,??????,Ash Shuyukh,364,13255,4.15,0.02,3,12,2.7147,0.0058,0.1842,0.0373,0.8928
11,48,???????,Tarqumiya,360,20704,4.14,0.02105,1,2,2.5847,0.006816,0.001599,0.001596,0.894
12,53,????,Idhna,956,27886,3.13,0.023,1,18,2.61,0.0019,0.094,0.004,0.93
13,54,????,Marda,18,2526,4.66,0.068,1,0,2.151,0.0067,0.13,0,0.87
14,55,????,Biddya,61,11113,3.63,0.024,3,2,2.671,0.0044,0.129,0,0.842
15,56,????,Haris,22,4399,7.21,0.02,1,0,2.82,0,0.046,0,0.845
16,57,????,Mas-ha,16,2520,2.82,0.023,1,0,2.665,0.013,0.136,0,0.793
17,58,??????,Iskaka,5,1274,3.771462,0.039,1,2,2.4605,0.0129,0.143406,0.01947,0.89491
18,59,????,Sarta,11,3596,4.1,0.02,1,14,2.37,0,0.16,0,0.82
19,61,???????,Az Zawiya,23,985,0.002,0.023,1,2,2.7,0,0.09,0,0.924
20,62,?????,Salfit,252,11602,3.63,0.044,4,30,2.299,0.01,0.179,0.0068,0.88
21,63,?????,Rafat,20,3116,2.3,0.02,1,6,2.52,0,0.14,0,0.93
22,64,??????,Bruqin,19,4303,3.1,0.03,1,22,2.42,0.01,0.12,0.004,0.93
23,65,????,Farkha,120,1755,4.64,0.059,1,6,2.83,0,0.052,0,0.9
24,70,??? ????,Kafr Qaddum,20,3474,3.96,0.0375,1,2,1.465,0,0.13,0,0.89
25,71,???,Jit,30,2547,6.12,0.035,1,6,2.15,0,0.183,0,0.988
26,72,???? ?????,Baqat al Hatab,10,2058,2.75,0.036,1,2,2.51,0,0.172,0.0101,0.919
27,73,???,Hajja,14,2816,3.6,0.03,2,16,2.29,0.01,0.14,0.006,0.85
28,74,????,Jayyus,76,3684,4.41,0.048,1,2,2.57,0.005,0.143,0.0095,0.876
29,76,?????,Far'ata,46,3842,4.7,0.03,1,0,2.42,0,0.12,0.004,0.87
30,89,??????,'Arura,8,3286,3,0.044,2,20,2.66,0.0025,0.128,0.0025,0.872
31,90,?????,'Abwein,62,3698,4.4,0.04,1,10,2.517,0.0135,0.001,0.011,0.87
32,91,???????,Turmus'ayya,15,2606,1.098,0.048,3,12,2.67,0.0077,0.113,0.011,0.902
33,92,????? ??????,Al Lubban al Gharbi,7,1656,6,0.025,3,6,2.79,0,0.18,0,0.85
34,93,????,Sinjil,23,6073,3.4,0.037,1,2,2.79,0.0004,0.07,0,0.902
35,95,?????,Rantis,8,3362,4.7,0.024,1,2,2.82,0.00049,0.055,0,0.88
36,101,???? ??? ????,Khirbet Abu Falah,25,4647,3.47,0.05,1,2,2.84,0,0.052,0,0.897
37,102,?????,Rawabi,6,751,0.05,0.01,1,10,2.11,0.02,0.18,0.07,0.97
38,104,??????? ???????,Al Mazra'a ash Sharqiya,45,4297,1.188,0.0505,1,2,2.33613,0.0162,0.1052,0.03934,0.92715
39,108,??? ????,Kafr Malik,10,3116,2.4,0.07,1,2,2.81,0,0.063,0,0.941
40,109,????,Shuqba,8,5774,4.3,0.017,1,2,2.7,0.00037,0.095,0,0.877
41,110,????,Kobar,55,4569,3.9,0.03,1,2,2.64,0,0.13,0.003,0.87
42,111,????,Qibya,2,6441,4.41,0.01,1,0,2.88,0,0.03,0,0.7
43,112,?????,Silwad,36,6708,0,0.038,1,14,0.8,0.00099,0.111,0.082,0.901
44,114,??????,Al Jalama,43,2392,1.4,0.04,1,0,2.67,0,0.1,0,0.9
45,115,???? ????????,Silat al Harithiya,104,12074,5.8,0.03,1,10,2.28,0.00032,0.068,0,0.839
46,120,????,Taffuh,519,16940,12.73588452,0.0013,1,2,2.967,0,0,0.001384357,0.819186527
47,133,??? ???,Beit 'Awwa,225,11189,1.768,0.023,1,10,2.742,0.016,0.104,0,0.95
48,134,????,Dura,2641,42174,5.5,0.03,3,14,1.95,0.02,0.09,0.01,0.83
49,140,??? ????,Dar  Salah,53,4851,4,0.03,0,0,2.35,0.01,0.22,0.03,0.85
50,143,??? ?????,Beit Sahur,280,14044,5,0.09,5,34,1.8,0,0.39,0,0.98
51,144,?????,Al Khadr,152,12647,7.3,0.029,1,6,2.79,0,0.127,0.0166,0.984
52,148,????????,Ash Shawawra,15,4400,3,0.033,1,2,2.7785,0,0.0702,0.0023,0.946
53,149,?????,Artas,77,6075,5.1,0.024,1,0,2.751,0,0.0908,0.003,0.882
54,150,??????,Nahhalin,103,9243,3.7,0.012,1,10,2.985,0,0.005,0,0.921
55,172,????,Tuqu',80,9270,3.6,0.01,0,0,2.79,0,0.06,0,0.893
56,175,??????,Al Funduq,8,1191,3.9,0.03,1,0,2.76,0,0.07,0,0.87
57,176,???????,Qalqiliya,1895,54737,7.449,0.034,4,62,2.51,0.0052,0.203,0.0168,0.8295
58,181,???????,Jinsafut,108,2723,5.5,0.041,1,12,3.025,0.0067,0.15,0.034,0.846
59,182,????,'Azzun,67,9817,5,0.03,3,18,2.29,0.009,0.13,0.0003,0.86
60,187,????,Habla,72,7474,7.06,0,1,0,2.79,0.0048,0.14,0.002,0.85
61,191,??? ???,Kafr Thulth,17,5937,8.6,0.035,1,6,2.65,0.0006,0.11,0.002,0.82
62,197,??????,Sanniriya,33,3822,5.4,0.028,1,2,0.07,0.0005,0.02,0.002,0.89
63,200,????? ??? ???,Qarawat Bani Zeid,55,3612,5.522,0.026,1,10,2.321,0,0.0682,0.0479,0.621
64,207,??????,Al 'Auja,60,4590,7.602,0.023,2,0,1.8106,0.0093,0.0096,0.0326,0.589
65,224,????,Burqa,14,4360,5.3,0.048,1,2,2.7,0,0.066,0,0.63
66,225,?????,Yasid,6,2630,5.7,0.043,1,2,2.9,0.0001,0.07,0.006,0.78
67,228,??????,Sabastiya,48,3365,3.6,0.06,3,6,2.07,0.01,0.1,0.0004,0.88
68,229,???????,Ijnisinya,15,614,3,0.066,1,0,3.324,0.016,0.066,0,0.76
69,233,??? ???,Deir Sharaf,41,3097,2,0.05,1,2,2.185,0.005,0.16,0.006,0.892
70,234,????? ????????,'Asira ash Shamaliya,86,9254,3,0.05,2,2,2.577,0.009,0.15,0.006,0.909
71,235,????????,An Nassariya,7,1984,2.2,0.03,1,0,2.37,0,0.2,0,0.9
72,236,?????,Faqqu'a,17,4651,4,0.038,1,2,2.79,0,0.07,0,0.83
73,237,?????,Zawata,100,2664,3,0.04,1,2,2.489,0.004,0.18,0.002,0.852
74,239,?????,Qusin,13,2364,2,0.03,1,0,2.79,0,0.06,0,0.92
75,240,??? ????,Beit Iba,57,4283,3,0.054,1,2,2.851,0.005,0.17,0.016,0.83
76,242,??? ???,Beit Wazan,45,1378,2,0.046,1,0,2.47,0.03,0.19,0.0003,0.879
77,245,?????,'Azmut,16,3612,5.3,0.04,1,6,1.9,0,0.15,0.0014,0.86
78,246,?????,Nablus,5199,164758,8,0.046,5,104,2.213,0.004,0.21,0.021,0.832
79,251,???,Sarra,61,3553,4.7,0.036,1,10,2.96,0.038,0.129,0.034,0.91
80,252,????,Salim,65,6580,5.4,0.03,1,8,2.16,0,0.059,0,0.858
81,257,????,Khursa,8,3732,0.23,0.033,1,0,0.572,0.013,0.438,0,0.992
82,279,????,Tammun,124,13888,2.09,0.039,1,2,2.64,0.002,0.116,0.00059,0.949
83,283,?????,'Aqqaba,5,8723,6.09,0.029,1,2,2.67,0,0.107,0,0.827
84,284,?????,Tubas,307,22690,3.68,0.04,4,32,2.722,0.00467,0.119,0.016,0.953
85,314,??????,Al Karmil,4,10443,3,0.015,1,12,2.42,0,0.153,0.0015,0.941
86,318,????????,Adh Dhahiriya,439,38516,2,0.027,3,78,2.65,0.05,0.107,0.0097,0.929
87,331,?????,Yabrud,80,608,1.6833,0.2384,1,0,2.61143,0.0044901,0.1449,0.0028281,0.92893
88,332,??????,Beitillu,14,3665,5,0.032,1,0,2.81,0,0.063,0,0.875
89,335,??????,Birzeit,54,6217,1.73,0.055,3,14,2.83,0.024,0.149,0.00188,0.915
90,338,???? ?????,Silwad Camp,0,482,10.7,0.03,1,0,3.33,0.002,0.06,0.13,0.78
91,339,??? ????,Deir Jarir,17,4727,4.51,0.041,1,20,2.688,0.006,0.128,0.003,0.876
92,346,??????,At Tayba,8,1417,0.7,0.09,1,14,2.687,0.053,0.111,0.006,0.959
